id,B,Body,Label
1601,1601,Ben çok beğenmedim kısa ince kirpikleriniz varsa dolgunlaştırmıyor sivri sivri ok gibi yapıyor. Bir daha almam.,1
2141,2141,Bence en başarılı kulaklık. Pro gereksiz.,1
1715,1715,"Bence fiyat performans ürünü, bu yüzden mükemmel.",1
1396,1396,Bence normal bir rimel sadece fiyatı pahalı,1
1894,1894,Benim derdim yurtiçi kargo teslimat sırasında teslim ettiği kişiye kimlik bile sormadan teslimat yapması ve telefonu kişini kendisine teslim edildi gibi bir bildim yapması dikkat edilmesi gerektiğini düşünüyorum.,1
1952,1952,Benim için fiyat/performans ürünü. Uygulamalar arası geçişler çok hızlı. Kamerası gayet iyi. Kutu içinden kılıf çıkıyor ancak kulaklık çıkmıyor.,1
1456,1456,Benim kirpiklerim bu kadar gür ve uzun muydu dedirtecek cinsten. Loreal yapmış yine yapacağını 🌼,1
2507,2507,Beğendim cok guzel tavsiye ederim,1
1717,1717,Beğendim...,1
1638,1638,Beş yıldız,1
1746,1746,Bir müddet sonra ekrana basmak zorlaşıyor. Ürün daha çok geliştirilmeliydi. Ancak f/p bakımından yeterli görünebilir. Fiyat düşürülmesi gerekir.,1
1807,1807,Bir telefon ile ne yapılması gerekiyorsa hepsi yapılabiliyor. Oyun oynayan biri değilim Oyun performansını bilemem.Fakat iş olarak çok yoğun kullanıyorum Bankalar belge gönderimi. Belge taramak tı falan ekranıda fena değil belgelerde netlik güzel Akıcılığı çok hızlı micro sd taktım. Telefon amacı ile kullanım için çok iyi. Yüksek paralar vermeye gerek yok. Navigsayonda da yandeksi ve haritalarını indirdim çevrim dışı yada çevrim içi hepsinde başarılı şehir dışı navigasyon bağlantısı net ve hızlı. Ses baya yüksek kısarak kullanıyorum. eski mikro sd im takılı olduğu için 60 gb doluluk var ve ekran hızı algılaması değişmed Başka markaları bilmiyorum hem iş hem kullanım için ideal bu fiyata. Gerçekten çok yuksek paraları kaptırmayın boşuna. benden görupte işyerimde 3 arkadaş daha aldı.,1
2350,2350,"Bir ürün aldığımda ilk baktığım şey değerlendirmeler oluyor. Bu ürünü sipariş verdiğimde az da olsa gördüğüm olumsuz yorumları, siparişim elime ulaşıp kullandığımda nasıl verdiklerini gerçekten anlamadım. Yani 1 veya 2 yıldız kargodan kaynaklı verilebilir ancak bu ürün için aksi halde satıcıya karşı gerçekleşen bilinçli bir durum vardır bence. Ürüne gelirsek taş gibi mouse, eli dolduruşu, tuşlarının sertlik oranı kaliteyi hissettiriyor.",1
2260,2260,"Biraz daha ucuz olsun, yeterli.",1
2315,2315,Biraz küçük ama güzel ürün,1
2224,2224,Biraz küçük geldi bana ama güzel urun sadece ürünleri gönderirken içine gazete falan olsa koruma amaçlı daha iyi olur kırılıyor çünkü gelirken,1
1580,1580,Bittikçe stokluyorum. Çok güzel herkese tavsiye ederim.,1
2323,2323,Boyutları biraz hantal durmasına rağmen ele tam oturması açısından güzel.,1
2363,2363,"Boyutu rahat olabilecek en küçük boyut, yani biraz daha küçük olsaymış rahat olmazmış.Bence gayet ele oturuyor. Ama eliniz büyükse önermem.",1
2386,2386,"Boyutu tek elle kullanıma uygun, kalemi çok işlevsel edge olması note kullanımını zorlaştırıyor, batarya tam günü çıkarıyor. İşlemci , RAM ve kamera çok başarılı.",1
2340,2340,Boyutunu karşılaştırmanız  için elindeki mouse ile fotoğrafını attım.,1
1841,1841,Bu arada ben bir yazilimciyim ve bu yorumu 2 ay kullanımdan sonra yazıyorum.,1
1767,1767,Bu cihazlar gerçekten piyasadaki tüm cihazlara hem fiyatta ustun hemde şarj konusunda her bütçeye uygun ürünü mevcut donma ısınma kasılma yoktur 3 aydır pro 128 kullanıyorum sorunsuz en yeni  android 11 kullanıyor hem ucuz hemde kaliteli incelemenizi tavsiye ederim pişman olmayacağınızı düşünüyorum,1
1937,1937,Bu fiyata alınabilecek en iyi telefon. Başka markalarda bu fiyata ancak 64 Gb ve düşük çözünürlükte ekran alınabilir. Kamerası çok iyi çekim yapıyor. Şarj uzun bir günden fazla gidiyor. Tavsiye ederim.,1
1828,1828,Bu fiyata alınabilecek en iyi özellikte telefon çünkü ısınma ve ağırlaşma donma gibi sorunu yok kamera ve hızı çok iyi tabi ki Apple daha iyi kiyaslarsaniz ama sizde 10 bin TL verin Xiaomi ye size Apple dan daha iyisini yapsın böyle de düşünmek gerek.bosuna ABD bin zenginliğine zenginlik katıp iPhone a para kaptırmayın tereddütsüz alın daha ne iPhone ne Samsung hepsini kullandım uzun süre Xiaomi bir harika herşeyi ile sakın çin malı deyip küçük görmeyin unutmayın iPhone Samsung da Çin'de üretiliyor ve arkadaşlar malzeme kalitesi Xiaomi nin mükemmel bu fiyata bu kalite süper tereddütsüz alın pişman olmazsınız,1
2303,2303,Bu fiyata cok iyi performans..pahali ürünleri almaya gerek yok.. işimizi görür,1
2297,2297,Bu fiyata daha iyisi olamazdı,1
2281,2281,Bu fiyata en iyisi,1
1665,1665,Bu kadar güzel bir maskarayı bu fiyata bulmak kaçırılmayacak bir fırsat gerçekten. Teşekkürler Maybelline.,1
2029,2029,Bu kadar pahalı olmasa daha güzel olur ama tabiki beklentilerinizi karşılayacak bir ürün kesinlikle. Çok memnunum,1
1479,1479,Bu maskara İn üzerine tanımam. Hemen sipariş verin. Büyüleyicidir.,1
2343,2343,"Bu mouseların bazı sürümlerinde tekerlekleri gıcırdıyor, sonra bir süre sonra orta tuşları basmıyor. Çünkü sürtünen plastik mil toz oluşturuyor ve bu toz orta tık butonuna doluyor.  Sonra tekerleğin tuşu  basmıyor. Eğer gıcırdamaya başladıysa tekerleğin ortasına milin olduğu yere sadece yarım damla makine yağı şiddetle tavsiye edilir, bir zarar vermez. Logitech ısrarla düzeltmiyor bu gıcırtıyı.(hareketli parça hani yağlanır bu yağlar bunun için icat edilmiştir) Yıllardır bu mouse 'u 5. alışım neden hala alıyorum bende bilmiyorum. (5 inden 4'ü bu arızayı yaptı) Tasarım işlerinde hassas çizimler yapılabiliyor tekerlekteki sürtünme hariç canavar gibi ürün, ve muhtemelen bu sorunda planlı eskitme.",1
1871,1871,Bu nasıl güzel bir telefon laaan :) hem ucuz hem kapasiteli hem performans güzel hem oyun iyi:) ulaaa baya iyi ha,1
1998,1998,Bu satıcıdan 3.kez airpods alıyorum. Tamamı orjinal çıktı ve sorunsuz çalışıyor.,1
1849,1849,"Bu telefon cok iyi dostum! Anneler gunu icin almistim, iphonumu anneme verip bu telefonu kendime almayi dusunuyorum okadar canli ve hizli bir telefon. 7 Mayis siparis verdim 12 sinde elimde oldu hersey mukemmel, kotu yorumlari okuyunca acaba hiyar mi gelecek, kacak telefon mu gelecek diye bir kac gun saclariniz beyazliyor ama urun elinize ulasinca garantili faturali herseyi orjinal. Tavsiye ederim.",1
1838,1838,Bu telefonu almak isteyen kişiler hiç düşünmeden alsınlar. Telefonun şarj olma süresi 2 saat. Tam şarjla verdiği ekran süresi ise kullanımınıza bağlı olarak 7-10 saat arası değişiyor. Parmak izi okuyucusu başarılı. Kamerası stok kamerada biraz kötü ancak gcam kurarak bu sorunu ortadan kaldırabilirsiniz. Ses seviyesi oldukça yüksek bir telefon. Günlük işlerinizi çok rahat yapabilirsiniz. Gönül rahatlığıyla alabilirsiniz,1
1706,1706,Bu telefonu iyiki almışım,1
2514,2514,Bu ürün yerine farklı marka maskara geldi,1
1675,1675,Bugün sipariş verdim yorumlara guvenerek umarim güzel sonuç alırım heycanla bekleniyor 🧡😊,1
2484,2484,Bugüne dek en memnun kaldığım maskara,1
1569,1569,Buna yorum yapmaya zaten gerek yok parasını sonuna kadar hak ediyo,1
1845,1845,Bundan önce bir Iphone kullanıcısı olarak olumsuz durumlar olur diye düşünmüştüm ama şu anlık gayet iyi duruyor.,1
1842,1842,"Bunun dışında kabaca değerlendirecek olursam, Türkiye şartlarında ki fiyatlara göre işinizi görecek bir cihaz.",1
2474,2474,Bunun yerine farklısını kullandığımda başarılı sonuçlar almadım hatta biraz kullandıktan sonra farklı markaları attım.,1
2112,2112,Büyük oğluma almıştım...çok beğeniyor....ciffem çok memnun...,1
1902,1902,Cihaz emsallerinin çok üstünde çok para vererek aynı özelliklere sahip farklı marka cihaz almak anlamsız performans fiyat teredüt dahi etmeyin,1
2405,2405,Cihaz fiyatına göre kıyaslama yapılırsa çoğu markadan daha fazla özellik ve kalite sunuyor ve özellikle cihazın ebatı çok kullanışlı kaba bir cihaz istemiyorsanız tam aradığınız performans ve kalite hissi veriyor.,1
1872,1872,Cihaz paketlemesi güzel ürün 2 günde ulaştı elimize hepsi burada ailesine teşekkürler cihazdanda mennunuz herkeze tavsiye ederim gönül rahatlıgı ile alabilirsiniz,1
2384,2384,"Cihaz çok şık , bir amiral gemi olduğunu ele aldığınız zaman belli ediyor. Arayüzü , işlemcisi hiç takilmadan çalışıyor. Ortalama bir kullanimda pil günü çikarir ama oyun vs oynarsaniz günde ikinci şarj ister. Fakat superhizli sarj olayi oldugundan neredeyse 1 saatte tam sarj oluyor. Bu sebeple cok buyuk bir sorun degil gibi pil konusu.",1
2427,2427,"Cihazın f/p oranını geçecek olursak, Hepsiburada ürünü bana çok hızlı ve sapasağlam iletti. Yaklaşık 6 aydır kullanıyorum ve hiç bir sıkıntı yaşamadım. Ilk defa telefonda S Pen kullanan biri olarak çok faydasını gördüm.",1
1351,1351,Cok beğendim. Gercekten uzun kirpik vaadini yerine getiriyor. Dolgun gorunum istiyorsaniz ancak ikinci ucuncu katta dolgunluk saglayabilirsiniz. Ama uzunluk istiyorsaniz kesinlikle tavsiye ederim,1
1676,1676,Cok beğendim. Teşekkürler hepsi burada ??,1
2177,2177,Cok düsünerek almıstım orjinalliği konusunda. Elime ulasınca keske daha önceden alsaydım dedim. Ayrıca siparis verdim ertesi gün elimdeydi. Appledan seri numarasından doğrulattım tamamen orijinal. Hic düsünmeden alın derim,1
1775,1775,Cok guzel bı telefon harıka ve hızlı teslimat dun sıparıs verdım bugün elime ulaştı gayet ıyı bı telefon güvenle alabılırsınız tesekkurler hepsıburda,1
2457,2457,Cok güzel,1
1856,1856,Cok iyi performansli telefon almak isteyen tereddutsuz alabilir icinde orjinal kilifla gonderiyorlar.,1
2092,2092,Cıdden kalıtesının hakkını verıyor mukkemmel,1
2244,2244,Daha once de satin almistim memnun kaldigim icin yine ayni modelden satin aldim.  Kargosu da cok hizli bir sekilde yapildi. Teşekkür ediyorum,1
2004,2004,Daha önce Huawei ve Xiaomi Bluetooth kulaklık kullanmış biri olarak diyorum ki hepsi yalan tek gerçek Apple.,1
1620,1620,"Daha önce de Loreal marka rimel kullandım. Bu da diğerleri gibi süper. Ürünüm sorunsuz, verilen sürede elime ulaştı. Kadıns Kozmetik'e teşekkürler.",1
1656,1656,Daha önce kullandım yedeklemek için aldım. Çok güzel fiyat iyi👍,1
1516,1516,Daha önceden de kullandığım bir ürün. Gayet güzel. İndirimli olunca kaçırmadim😃,1
1851,1851,"Dedem için aldık, yok babaannem için... gibi yorumlara sinir oluyorum.Sanki biz telefonla şirket yonetiyoruz.:)Uzun zamandır kullanıyoruz.Sesi çok yüksek.Ekran görüntü kalitesi çok iyi.128 GB almıştık.Memnunuz.Sorun çıkaracak gibi görünmüyor.Fiyatı biraz artmış sanırım.Düşünmeden alabilirsiniz.",1
1369,1369,Denildiği kadar güzel mağazada özenle paketlemiş alın derim,1
1793,1793,"Diğer taraftan Xaomi Red mi Note 8 128 GB telefon için denilebilecek çok fazla şey yok aslında. Tonlarca görsel, bilgi, yorum mevcut zaten, ekstra bir görüntü eklemeye gerek görmemek lazım. Yanlız şunu belirtmek isterim ki; kamera ışığı sarı ve lümen (aydınlatma gücü) yetersiz kalıyor. Ayrıca şebeke operatörünüzün bulunduğunuz yere göre sunduğu kalite doğrultusunda bağlantı tipinizi değiştirmeniz gerekliliği doğrultusunda batarya ömrününe endeksli olarak, internet bağlantısında batarya ömrünüz 5-6 saatte bitebiliyor. Haliyle çeşitli ayarlarında etkileri söz konusu değil demek yanlış olur, ekran parlaklılığı ve vs.",1
2534,2534,"Dün sipariş verdim bugün elime ulaştı. Güleryüzlü kargocuydu.. Ürünü gelince hemen denedim yaklaşık 4-5 saatir herhangi bir akma,topaklanma yapmadı hatta yüzümü yıkadım yine yapmadı hacim konusunda orta derecede ama hakkını veriyor güzel ayırıyor bende yorumlara bakıp almıştım düşünenler alabilir.. Ayrıca paketin içinden kutu lipton ice tea çıktı onun içinde teşekkürler...  :)",1
1910,1910,"Düzgün bir şekilde paketlenmiş kargoyle elimize geldi ürün, kısa bir zaman oldu ama genelde mi telefonlardan memnunum, annem için de redmi note7 almıştım, şu ana kadar herhangbir sorun yaşamadık...",1
1869,1869,Düşünmeyin alın kullanın tum ihtiyaçlarınızı karşılayacak bir telefon.,1
