Index,Yorum,Duygu
146,vicdanın ne oldugunu bilir misin,0
147,vicdan mı sanmıyorum o sizde yoktur,0
148,empati yoksunusunuz,0
149,empati yapta halimden anla biraz,0
150,müşteri hizmetlerine baglanmak labirentten çıkmaktan farksız,0
151,müşteri hizmetlerine baglanmak için kendimi egitiyorum,0
152,hizmet anlayışınız mükemmelmiş cidden,0
153,dilinizde pabuç gibi olmuş,0
154,laf yetiştirecegine sorunumu çözseydin daha iyi olurdu,0
155,dile bak pabuç gibi olmuş,0
156,sinir hastası oldum sayenizde,0
157,sabrımı sınıyorsunuz,0
158,limitlerinizi zorluyorsunuz,0
159,haddinizi aşıyorsunuz,0
160,hudutlarınızı iyi bilin,0
161,sizin gibi insanlarla bir daha muhattap olmam,0
162,kargom herhalde hiç gelmeyecek,0
163,size abone olmadan önce çok iyiydim,0
164,size abone olmadan önce hayatım daha güzeldi,0
165,size abone oldum hayatım karardı,0
166,telefon faturam bana mı özel yoksa bir kaç kişinin faturasını da mı ben ödüyorum,0
167,haksızlık yapmaktan hoşnut mu oluyorsunuz,0
168,haksız kazanç sağlamak sizi mutlu mu ediyor,0
169,sizinde nasıl bir firma oldugunuzu biliyoruz,0
170,internetim giriş katında böyle çekiyorsa bilmiyorum 2 katta olsam ne olucaktı,0
171,faturam indirimli hali bu kadarsa indirimsiz halini bilemiyorum artık,0
172,indirimli halde bu kadar ödüyorsam indirimsiz halini hayal bile edemiyorum,0
173,kargom kesin fizandan geliyordur yoksa bu kadar uzun sürmezdi diye düşünüyorum,0
174,sizin amacanız insan kazanmak degil para kazanmak,0
175,sizinle birlikte çalışmak dünyanın en gereksiz işi olur,0
176,dünyanın en gereksiz kuruluşusunuz,0
177,çok boşsunuz,0
178,bu dünya üzerinde gereksizsiniz,0
179,bu dünyanın sizin gibilere ihtiyacı yok,0
180,bir insan bir insanı bu kadar rahat nasıl dolandırabilir,0
181,sizi de bu kadar bekletseler hoşunuza gider miydi,0
182,size laf anlatmak köpege laf anlatmaktan daha zor,0
183,karşımda insan mı var?,0
184,karşımda konuşan insan mı?,0
185,saygınızı çöp kovasına mı attınız?,0
186,size saygılı olmayı hiç ögretmediler mi,0
187,beni tansiyon hastası yaptınız,0
188,sayenizde gözüm yollarda kaldı,0
189,insan sevdiginin yolunu gözler biz kargomuzun yolunu gözlüyoruz,0
190,sayenizde iki paket sigara bitirdim,0
191,bir kerede magdur etmeyin be,0
192,magdur etmeden duramıyorsunuz dimi,0
193,siz bi kendinizi benim yerime koyunda göreyim,0
194,sizin hiç vicdanınız var mı?,0
195,böyle bir şirketin böyle bir saygısızlık yapması normal,0
196,yaptıgınız şeylerden dolayı hiç şaşırmadım,0
197,zaten böyle bir şey yapacagınız baştan belliydi,0
198,herkes sizin hakkınızda hep aynı şeyleri söyledi,0
199,keşke reklamlarda görüldügü gibi olsaydınız,0
200,içiniz dışınız ayrı,0
201,sizin sözde vaatlerinize kananda hata var zaten,0
202,politikacılar gibi yalan vaatlerde bulunup duruyorsunuz,0
203,birinci katta olmama ragmen internetin bu hızı beni şaşırtıyor ikinci katta olsam kim bilir nasıl olucaktı,0
204,internet hızı kaplumbagaylan yarışır,0
205,banka hırsızımıyım her şeyimi ögrenmeye çalışıyorsunuz,0
206,bankanızda hesap açtıgım gün benim için kabustu,0
207,siz musallat oluyorsunuz,0
208,banka degilsiniz dolandırıcısınız,0
209,dolandırıcılıgın resmi halisiniz,0
210,dolandırılıcıgın vücut bulmuş halisiniz,0
211,bankanızdaki insanlar o kadar kibar ki sinir hastası olmamak elde degil,0
212,hizmet mi nerede?,0
213,hizmet yok saygısızlık var,0
214,hizmet görmedim ama yalan vaatleri çok gördüm,0
215,reklamlardaki firma cidden siz misiniz?,0
216,internetimde çok hızlı donmadan edemiyor,0
217,insan kandırmada üstünüze yok,0
218,insan kandırmanın kitabını yazarsınız,0
219,kalite anlayışınız sıfır,0
220,bankada hesap mı açtım başıma dert mi açtım belli degil,0
221,kayınvalidem gibisiniz dert oluşturmaktan başka bir şey yapmıyorsunuz,0
222,sabrımın sınırınımı ögrenmek istiyorsunuz,0
223,bu faturaya göre benim zengin olmam lazım,0
224,kargomu çocuklar mı hazırlıyor bu ne hız,0
225,sokaktaki çocuklar bile kargomu daha hızlı getirirdi,0
226,kendim gidip alsam daha hızlı olurdu,0
227,sizler dolandırıcılıgın resmi halisiniz,0
228,yılan gibi kıvraksınız,0
229,siz insan olamazsınız,0
230,yarın bir gün aynısını size yapıcaklar ben o zaman görücem sizi,0
231,sizin gibi insanlardan dolayı her şey böyle oluyor,0
232,çok saygısızca konuştunuz tebrik ederim,0
233,o kadar hızlısınız ki kargom gelene kadar üründen sogudum teşekkür ederim,0
234,kargom bu yıl gelir herhalde,0
235,müşteri hizmetlerine baglanmaya çalışmak bulmaca çözmek kadar zor,0
236,altı üstü müşteri hizmetlerine baglanıcaktım kendimi labirentte hissettim,0
237,internet hızımla saygınız aynı seviyede,0
238,bana internet size saygı lazım,0
239,telefon faturam bir aylık çocugumun masrafından fazla gelmiş,0
240,sizden de böyle şeyler beklenirdi,0
241,sizin firmanın bu haltları yapacagı belliydi,0
242,bu firmadan da zaten böyle şeyler beklenir,0
243,çalışanlarınızı zorla mı tutuyorsunuz yaptıkları saygısızlık çok fazla,0
244,sanki zorla çalışıyor da yaptıgı muameleye bak,0
245,gel de sana biraz terbiye nedir onu ögretim,0
246,insan insana kazık atmaz,0
247,insan insanı kandırmaz,0
248,bu borcu ödemek için tefeciden borç almam gerekiyor,0
249,böyle yaparak anca kendinizi düşünün bizi düşünen yok,0
250,oyunun içinde oyun oynuyorsunuz,0
251,siz dolandırıcılıkta bir numarasınız,0
252,gelen faturaya on iki taksit yapabiliyor muyuz,0
253,bu faturayı ben 1 sene de anca öderim,0
254,sizden de bu beklenirdi,0
255,sizin gibi bir firmaya bu yakışırdı,0
256,sizlerden böyle bir kazık yiyecegimin farkındaydım,0
257,sizden yedigim kazıklar sayesinde karnım tok,0
258,saygısızlıgın kitabını siz yazın,0
259,saygısızlık kitabının yazarı siz misiniz,0
260,saygısızlık alanında birincisiniz,0
261,saygısızlıkta üstünüze yok,0
262,sizin gibi firmada hep böyle saygısız insanlar mı çalışır,0
263,böyle dandik bir firmayı kurmak zor olmasa gerek,0
264,herhalde bende firma kurmaya kalksam sizden bir farkım olmazdı,0
265,kalitesizlikten aman ödün vermeyin,0
266,siz birincisiniz ama kesinlikle sondan birinci,0
267,çin malı gibi dandiksiniz,0
268,milleti bu kadar kandırıcam diye ugraşmayın,0
269,milleti nasıl kandırırız diye uğraşıyorsunuz,0
270,bugün de milleti nasıl kandırırız diye toplantı yaptınız mı,0
271,interneti bi salın da gelsin,0
272,internetin kablosunu kısa mı çektiniz çok yavaş,0
273,böyle bir internet hızını ben hayatımda daha hiç görmedim,0
274,saygısızlıkta mükemmel bir hizmet anlayışınız var,0
275,telefon faturamla bir aile bir ay geçinir,0
276,beni dolandırmak hoşunuza mı gidiyor,0
277,firmanızın misyonları arasında dolandırıcılıkta mı var,0
278,vizyonunuz ne dolandırmak mı?,0
279,banka dedikleri gibi dert açmaktan başka bir işe yaramadı,0
280,hesap degil dert açıyorlar,0
281,sizinle iş yapacagıma başımın çagresine bakarım daha iyi,0
282,kargoyu sırtlayarak mı getiriyorsunuz,0
283,bulmaca çözer gibi müşteri hizmetlerine baglanmaya çalışıyorum,0
284,kargoya verdigim ürün yürüyerek mi geliyor,0
285,ürünüm ben ölmeden önce gelir mi,0
286,anneannem daha hızlı kargomu getirirdi,0
287,gelen fatura yıllık herhalde bu kadar fazla olmamalı,0
288,kargom kendisi yürüyerek gelse daha hızlı gelirdi,0
289,hayali alt yapı sorunundan dolayı mı internetim yavaş,0
290,hayali alt yapı sorununuz beni ilgilendirmiyor,0
291,çok dandik bir kuruluşsunuz,0
292,insanları kandırmak için mi kuruldunuz,0
293,hırsız olsam bu kadar zorlanmazdım bi müşteri hizmetlerine baglanamadım,0
294,kampanyanız bu kadarsa normal ücretlerinizi hayal bile edemiyorum,0
295,banka degil dolandırma merkezi,0
296,hepsi müşteriniz olana kadarmış ondan sonrası hep hikaye,0
297,eminim herkese böyle kandırıyorsunuzdur,0
298,tüm insanlar eminim size hakaret ediyordur,0
299,yılan gibi sinsi insanlarsınız,0
300,hizmette sınır yok derdiniz hizmet yokmuş,0
301,böyle hizmet vermesenizde olurdu,0
302,böyle verilen hizmete kimse muhtaç degil emin olun,0
303,kimse size muhtaç degil bunu anlayın,0
304,her seferinde aynı muamele şaşırdım mı hayır,0
305,her seferinde aynısını yapıp duruyorsunuz teşekkürler ne oldugunuzu ögrendik,0
306,bu dandik hizmetlerinizden dolayı sizi tebrik ederim,0
307,bu kalitesizliginizden dolayı kesin ödül alırsınız,0
308,yılın en kalitesiz firması seçilmeye adaysınız,0
309,yılın bir numaralı dolandırıcılık yarışmasına aday olmasınız,0
310,sokaktaki dolandırıcılar sizi görse pes artık derler,0
311,tefeciler gibi çalışma tarzınız var,0
312,ben bu çalışma tarzını tefecilere benzetiyorum,0
313,sokaktaki tefeciden bi farkınız yok,0
314,millet fiber internet kullanır biz sayenizde internete baglanamıyoruz teşekkür ederim,0
315,milletin internet hızı dudak uçuklatırken bizimkisi daha açılmıyor tebrikler,0
316,millet internette sörf yaparken ben burda alt yapı sorununun çözülmesini bekliyorum bravo size,0
317,siz gerçekten gördügüm en saçma şirketsiniz,0
318,sizin gibi insanlar toplanmış milleti kandırıyorsunuz,0
319,milleti kandırmaktan zevk mi alıyorsunuz,0
320,milleti kandırınca keyif mi alıyorsunuz,0
321,müşteriniz olmadan önce her şey daha güzeldi,0
322,müşteriniz keşke hiç olmasaydım,0
323,hepsi size dagil olana kadarmış,0
324,sizde digerleri gibi yalan vaatlerde bulunmaktan başka bir şey yapmıyorsunuz,0
325,internet hızım orta çağdan gelme gibi,0
326,bu internet hızıyla yılan oyunu bile oynayamam,0
327,bu internet hızıyla anca mario oynayabilirim,0
328,bu ne sudan çıkmış balıga döndüm,0
329,bu faturayı görünce insanın sinir kat sayısı yükseliyor,0
330,siz anca insan kandırın başka bir halt yaptıgınız yok,0
331,hakkınızda yanılmamışım beni iyi kandırdınız,0
332,beni bile kandırdınız ya helal olsun,0
333,sizden daha ne isteyeyim bu faturayı gördükten sonra,0
334,bu faturayı ödemek için benim 1 ay yemeden içmeden çalışmam gerekiyor,0
335,sizin gibi bir firmadan bu hareket beklenirdi,0
336,her türlü kandırmaca sizin firmanızda var,0
337,kandırmaktan başka bir şey yapmıyorsunuz,0
338,insanları kandırmak şirketin misyonu olmuş,0
339,insanları kandırmak şirketin vizyonu olmuş,0
340,böyle fatura gönderirken hiç mi utanmadınız,0
341,dolandırıcılıkta bir numara olmuşsunuz,0
342,kurye talep ettim ama 10 gün oldu yolu mu bulamıyor,0
343,kurye dedigin nazik olur sanki polat alemdar var karşımda,0
344,kurtlar vadisinde miyiz bu ne saygızlık,0
345,ben bu kaba davranışı en son kurtlar vadisinde görmüştüm şimdi de sizde,0
346,siz böyle davranarak çok ilerlersiniz emin olun,0
347,bu kaba davranışla iyi bir yerlere gelirsiniz,0
348,sizin gibi bir firma dünyada yoktur,0
349,dolandırıcılıgı resmi yapıyorsunuz bravo size,0
350,sizi tebrik etmek lazım bu kadar iyi dolandıran bir şirketle karşılaşmamıştım,0
351,sizin gibi sinsi firma piyasa az bulunur,0
352,sizden dolandırıcılık hakkında çok şey ögrenebilirim,0
353,sizin bu dolandırma azminizden dolayı tebrik ederim,0
354,sizin gibi bir firmadan hizmet etmenizi beklerdim,0
355,sizden hizmet etmenizi beklemiştim saygısızlık degil,0
356,bunda da dolandırıclık yaptınız ya tebrikler,0
357,daha ne kadar sinsi olabilirsiniz,0
358,kim bilir sizin ne sinsi planlarınız vardır,0
359,sizin gibi sinsi düşünebilen azdır,0
360,kargom emekleyerek gelse daha hızlı gelirdi,0
361,kargom bu sene gelir mi?,0
362,kargom diger dogum günümde gelir artık,0
363,bu gidişe göre kargom bir sonraki sene anca gelir,0
364,bankacılık işlemlerinde hepsinden mi ücret alırsınız ya,0
365,nedir bu eft ye verdigim ücret,0
366,eft den para almaya utanmıyorsunuz,0
367,bankada her işlem mi parayla kardeşim,0
368,utanmasanız onu da yaparsınız,0
369,telefon faturamı bu kadar çok getittirmek için çok çalıştınız mı,0
370,her şeyden ücret kesmişsiniz tebrikler,0
371,müşteri hizmetlerini arayınca bile para kesicekmişsiniz gibi,0
372,kardeşim her şey para mı ?,0
373,dininiz imanınız para olmuş,0
374,sizin gibi kargo firmasından da böyle bir şey beklenirdi tebrikler kargom kayıp,0
375,kargom kayıp olana kadar nerede kaldınız,0
376,aklınız bir karış havada kargom nasıl kayıp olur,0
377,mafya şirketimisiniz bu ne saygısızlık,0
378,arkanızda mafya mı var da bu kadar kaba olabiliyorsunuz,0
379,benimle düzgün konuşmaya ne zaman başlarsınız,0
380,milletle hep böyle kaba mı konuşursunuz,0
381,eminim birinci katta olsaydı çekerdi internet hep ikinci katta oldugumdan oluyor,0
382,şebeke sorunu yaşıyoruz,0
383,bu şebeke sorunu bir tek bana mı oluyor,0
384,şebeke sorunuyla neden bir tek ben ugraşıyorum,0
385,bıktım artık bu sizin şirketinizin gizli kapaklı oyunlarından,0
386,dolandırıcılık üzerine kurulmuş bir kuruluşsunuz,0
387,anca milleti dolandırın aman hizmet etmeyin,0
388,hizmetinize de doyum olmuyor,0
389,yalanlarınıza karnım tok artık,0
390,beyaz eşya alırken bile beyaz yalanlar söylemekten geri kalmıyorsunuz,0
391,işiniz gücünüz boş vaatlerde bulunmak olmuş,0
392,yapabildiginiz tek şey boş hayallerle avutmak,0
393,ben bu yaptıklarınızı bakın millete nasıl anlatıcam görün siz,0
394,sizin bu yaptıgınızı hayvanlar yapmıyor,0
395,sizi bir gün açık yakalasam şükür edicem,0
396,hiç açık oluyor musunuz bana mı kapalısınız sadece,0
397,yüzsüz oldugunuz için böyle konuşabiliyorsunuz zaten,0
398,banka banka degil soygun yeri,0
399,insanları donuna kadar soymadan bırakmıyorsunuz,0
400,sizi gidi sahtekarlar,0
401,sizin gibi yılanlar dogada bile az var,0
402,internette trafik mi fazla çok yavaş bu ne ya,0
403,serviste bir numarasınız ama sondan,0
404,başka bir firmada bu kadar rezalet yaşamamıştım teşekkür ederim,0
405,sizden de bu beklenirdi beni şaşırtmadınız,0
406,hizmetinize hayran kalmam gerekiyordu sinir hastası oldum,0
407,kargom herhalde fizandan geliyor,0
408,kargomu yürüyerek getirseydiniz daha hızlı gelirdi,0
409,sizle çalışmasaydım her şey daha iyi olabilirdi,0
410,sizin gibi bir firmanın böyle yapması normal tebrikler,0
411,sahtekarlıkta üzerinize kimse tanımam,0
412,organize işlerdeki gibi dolandırdınız,0
413,sizin de bir sinema filminizi yaparlar artık dolandırma sanatı diye,0
414,ben de zaten milyarderim hiç sorun olmaz,0
415,benim babam da milyarder zaten bu fatura hiç sorun olmaz,0
416,kargomun gelmesini beklerken yaşlandım,0
417,kargomun gelmesini beklerken hayatım tükendi,0
418,internete baglanana kadar gençligim tükendi,0
419,sinir hastası ettiniz beni,0
420,sizden alacagım hizmet olmaz olsun,0
421,bu nasıl bir hizmet anlayışıdır,0
422,sizin hizmet anlayışınız yok,0
423,sizden olsa olsa boşluk olur,0
424,sizin gibiler yüzünden ülke gelişmiyor,0
425,işiniz gücünüz milleti dolandırmak olmuş,0
426,milleti dolandırmak yerine keşke işinize odaklansanız,0
427,insanlık degerlerinizi gözden geçirim derim,0
428,internetim taş devrinden kalma gibi,0
429,internetim orta çag interneti gibi,0
430,internete baglanma sorununu bir siz yaşıtıyorsunuzdur,0
431,müşteri hizmetlerine baglanmaya çalışırken ki zamanda profesör olurdum,0
432,derslerimle bu kadar ugraşmamıştım size baglanıcam diye,0
433,hayatımdaki tek sorun sensin,0
434,hayatımdaki tek dert sensin,0
435,hayatımı mahveden tek sensin,0
436,hayatımı bu beklemeler mahvetti,0
437,hayatımı internete baglanırken ki zamanda harcıyorum,0
438,bu yıl internete baglana sorununuzu sakın halletmeyin,0
439,hayali alt yapı sorununuzu seneye sakın halletmeyin,0
440,sakın kendinizi üzüpte bize bir iyilik yapmaya çalışmayın,0
441,iyilik edipte kargoyu erken teslim edelim sakın demeyin,0
442,sakın kargomu zamanında teslim etmeyin ayıp olur,0
443,bu firmanın kazık atacagını bilmiyordum,0
444,sizin hakkınızda hep kötü şeyler derlerdi haklılarmış,0
445,tebrikler beni de kaydettiniz,0
446,benim gibi birini yitirdin tebrik ederim,0
447,benim gibi bir müşteriyi zor bulursunuz sizi tebrik ederim,0
448,sizin gibi firmadanda bu beklenirdi,0
449,sizden de böyle bir davranış beklenirdi zaten,0
450,size yakışanda böyle saygısızca davranmak zaten,0
451,sizden böyle tavır gördügüme şaşırmadım,0
452,şaşırılcak bir şey yok böyle olacagı belliydi,0
453,size yakışanda böyle davranmaktı,0
454,sizden böyle tavır görecegimi tahmin etmiştim,0
455,kargoma yürütmeyi mi ögretiyorsunuz bu ne yavaş,0
456,kargom artık gelsin be bu ne yavaşlık,0
457,sizin firmanın araçları tofaş mı ne hızlılık,0
458,filo agınız çok geniş herhalde bu kadar yavaş olmanızdan belli,0
459,ne kadarda büyük bir alt yapıya sahipsiniz hep arıza çıkarıyor,0
460,alt yapıda arıza olmadıgı zamanları görebilcek miyim,0
461,alt yapınız düzgün çalıştıgı zamanları ben görebilcek miyim,0
462,biz ölmeden alt yapı sorununuz çözülür mü,0
463,herhalde bu bir şaka olmalı kargomu kayıp etmiş olamazsınız,0
464,sıkıntıdan kendimi öldürebilirim sayenizde,0
465,çok teşekkür ederim bu kadar kötü bir firmayla daha önce çalışmamıştım,0
466,sizin gibiler yüzünden şuan bu durumdayız,0
467,işiniz gücünüz dümen olmuş,0
468,anca milleti kandırıp durun başka bir iş yaptıgınız yok,0
469,işiniz milletle oynamak mı,0
470,kargom o kadar hızlı ki geldigini göremedim çünkü hala kargom gelmedi,0
471,bu kargom nerede kaldı amerikadan sipariş vermedik,0
472,kargom amerikadan gelmiyor nerede kaldı ya,0
473,sağ olun sayenizde ömrüm kargo bekleyerek geçti,0
474,ömrümün baharında ben kargo bekliyorum,0
475,bu nasıl hizmet anlayışı stresten duramıyorum,0
476,hizmet anlayışınız bu mudur?,0
477,hizmetten kastınız saygısızlık yapmak mı,0
478,sizin gibi insanlardan da bu beklenirdi,0
479,sizin insanlıgınız bu kadarmış,0
480,sizden de bu beklenirdi tebrik ederim,0
481,internete düzenli bir şekilde baglanırsam şükür edicem,0
482,internete kesintisiz baglanamıyoruz,0
483,alt yapınız oldugunuza emin misiniz?,0
484,hayali alt yapınızdan dolayı oluyor tüm sorunlar,0
485,sayenizde delirdim teşekkür ederim,0
486,sagladıgınız internet servisinden dolayı kendimi dünyanın en şansızı hissediyorum,0
487,beni kendi paramla dolandırıyorsunuz tebrikler,0
488,güzel plan yapmışsınız geleni dolandırmadan çıkarmıyorsunuz,0
489,anca milleti dolandırın zaten şerefsizler,0
490,banka da hesap açılır biz hayatımıza yeni bir dert açtık,0
491,telefon faturam maaşımdan yüksek gelmiş teşekkür ederim,0
492,sonunda olacak olan buydu şaşırtmadınız,0
493,sizin yüzünüzden şuan internetim yok teşekkür ederim,0
494,sizin yüzünüzden borç batagına battım teşekkür ederim,0
495,delirmek isteyen arkadaşlarıma sizi önerecegim,0
496,sizinleyken zamanın nasıl geçtigini anlayamıyorum o kadar sinirli oluyorum ki,0
497,sizin gibi insanlardan beklenenin aynısını yaptınız saygısızlıkta bir numarasınız tebrik ederim,0
498,sizin gibi birinden böyle bir tepki beklerdim,0
499,size yakışanı yaptınız saygısızlıkta,0
500,sizin gibi bir markadanda bu beklenirdi,0
501,bir numarasanız ama sondan bir numara,0
502,size dolandırıcılıkta ödül versinler,0
503,beyaz eşya alırken bile dolandırıldım ya helal olsun,0
504,banka bizi resmen ayak üstü oyuna getirdi ya bravo,0
505,tek kelimeyle bravo sizden böyle bir şey beklemezdim,0
506,sizin müşteri memnuyeti anlayışınız bu mudur?,0
507,kargom emeklemeye başlayınca yola çıkar herhalde,0
508,kargoyu verdigimde çocugum yürüyemiyordu teşekkürler kargom gelmeden çocugum yürümeyi ögrendi,0
509,kargoda çalışanlar ne kadar kibar küfür etmeden duramıyorlar,0
510,magdur olan benim siz kendinizi magdur yerine koymayın,0
511,kargoyu yürüyerek mi getiriyorsunuz,0
512,ben de zaten trilyonerdim ya,0
513,ben de zaten zengindim ya,0
514,internetim kağnı hızında,0
515,buna internet demeye bin şahit ister,0
516,internet mi baglanmadı ki kullanalım,0
517,internette sörf yapmak isterdim daha baglanmıyor bile,0
518,hayali kullanım tutarını ben mi ödeyecem,0
519,kurbana girer gibi faturayı toplu ödeyicem bu nedir böyle,0
520,sizin hizmet anlayışınız sıfır,0
521,siz dolandırıcılıgın resmi halisiniz,0
522,bankadaki işlemler halledilirse şükür edicem,0
523,banka banka degil kasap sırası sanki,0
524,banka düzgün olsaydı böyle olmazdı,0
525,sizin bankanız kalitede birinci ama sondan birinci,0
526,telefondan tüm ülke konuşsa bu kadar gelmezdi,0
527,tüm ülkenin faturasını bana yüklemiş gibisiniz,0
528,tüm ülkenin faturasını omuzlarımda hissediyorum,0
529,internetim baglansada ben de görebilsem,0
530,internetimin kopmadıgı günleri acaba görebilcek miyim,0
531,internetimin düzgün çalıştıgı zamanları görmek nasip olucak mı acaba,0
532,kargo şirketi oldugunuza emin misiniz?,0
533,internet saglayabileceginize emin misiniz?,0
534,kendinize hayrınız yok bana nasıl olucak,0
535,sizin daha kendinize saygınız yok bana nasıl olsun,0
536,sizdeki hizmet anlayışı karşınızdakinin parasına göre degişiyor,0
537,sizde ne insanlık var ne vicdan,0
538,ne kadar düşüncelisiniz ya bu faturayı bu kadar ekstrayla birlikte göndermekle,0
539,telefon numaram sandım megerse borcummuş,0
540,bu nasıl telefon borcu sanki yeni hat numarası gibi,0
541,telefon faturası kekim kadar kabarık gelmiş,0
